Class,Text
yes,  So happy that  is back on tv! It was probably thee most positive show on tv I have ever watched. I have the flu and…
yes,Work comp rib injury...check While resting at home get stomach flu...check Severe tennis elbow...check  What happens when I get old?
no,  If you get a flu vaccine by choice I don’t trust you.... and you probably should not trust yourself
no,Swine flu
yes,  CDC warns of 2nd wave of flu hitting US 
no, *bird flu it’s called
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no," We're sorry to hear you experienced an issue opening up our Cold &amp; Flu Plus package! If you are still experiencing an issue, we recommend taking it back to the store so a staff member can provide assistance. In the meantime, we will pass this feedback along. Thank you."
no,  Can #Nutrition Help Prevent Common #Cold &amp; #Flu #Viruses? heck our my latest contribution for  Some nice #…
no,  Don’t let cold &amp; flu control your day. It’s time to mix it up with the soothing vapors and tea-infused flavors of Theraflu® P…
no,  The reason that the White House flu shots administered by #DrRonnyJackson weren't all that success at preventing illness this…
no,  LISTEN. The #Celtics and #Bucks will clash tonight in a potential playoff preview. Terry Rozier's dealing with an ankle i…
no,Higher prices help foie gras farmers overcome bird flu crises 
yes,  Jimmy Howard will start in net for Red Wings tonight v. #CBJ. Jared Coreau has been scheduled to start but he has the flu.…
no,  More Asthma Triggers to avoid include:  Common cold and flu Non steroidal anti inflammatory painkillers like aspirin an…
no,Is there an app that makes these man orrrrr?? 
yes,Ya girl gots da flu. Type B.
no,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…"
yes,This Flu trynna put me in a body bag
no,I’ve Never had the flu but I’ve never got a flu shot
no,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…"
no,Higher prices help foie gras farmers overcome bird flu crises 
no,  Download Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!…
no,Check out the library's online exhibit on the subject “Going Viral: Impact and Implications of the 1918 Flu Pandemic”:  
yes,Caught the flu bug but I squashed it with my essential oils and lots of rest. #essentialoils
no,"Miss those days when I could take a short of Gordon's, Stro Rum or Haakiesdraad at the first signs of flu"
yes,The flu used to be a likely death sentence in Eagle County. 
no,  Dying of #Flu - Another Tragic Consequence of #WorldWarOne via   #MondayBlogs 
no,New post: Flu &amp; Cold Wellness Tea - Immune Boosting Turmeric Tea by D.Baron -  
no,  Irish flu vaccines. 
yes, Me every time I get the flu
no,#WhiteSox score early..Abreu succumbs to the Flu and they lose. So no Flag today. #FlyTheArrow #SEAvsCWS 
no,  More Asthma Triggers to avoid include:  Common cold and flu Non steroidal anti inflammatory painkillers like aspirin an…
no,  Timothy Cunningham was murdered for telling the truth about flu shots this year. After countless people have been in the ho…
no,  When people say the flu shot made you sick: THE FLU SHOT DIDNT MAKE YOU SICK ITS YOUR IMMUNE SYSTEMS RESPONSE TO THE FLU SHO…
no,Flu ihamba nam straight 
no,"  Join us via livestream NOW for the Going Viral #flu symposium session on ""Predicting and Preventing the Next Pandemic""…"
no,  Hell is one gigantic movie theater and everyone there has the flu.
yes,  I actually been experiencing flu like symptoms lately Dr... 
no,  Check out  Tweet: 
yes,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…
no,"  Kovsie Students, the pharmacy on campus is doing Flu Vaccinations and you dont need to make a booking or anything. You can use…"
no,"  ""If we do not work quickly to remove the #pandemic threat forever, those black-&amp;-white images of yesteryear—the endless rows o…"
no,Lucchi - The Calling(Flu Season)  #nowplaying #listenlive
yes,This flu is really bodying me 
no,  Always feel para when I tweet stuff about my mental health but shouldn’t feel ashamed. Wouldn’t hold back if a wanted to…
no,I’m what?  I hate you 
no," WAXIEbuzz ""DYK: About 5% of passengers on flights have a cold or the flu? #stayinghealthy #sanitizerisyourfriend  by CleanLinkNews"""
yes,It should be illegal to get the flu 2 days before your birthday 
yes,the worst shit is when you have the flu AND you have your fucking period. Man I’m going through it rn
no,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…"
no,2018 deadly flu season still in effect - Cabrini College Loquitur 
yes,Playing Fortnite with the Flu!  
no,"  If you are living with HIV and you get the flu, it will put added stress on your already weakened immune system, which c…"
no,"  #Flu season may have peaked in February, but we’re not out of the woods yet, says  "
no,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,  #STUDY: Vaccinating Pregnant Women Didn't Reduce Risk 4 #Flu or #Pneumonia 4 Moms &amp; Babies   
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
yes,Flu is killing mee 
yes,"  Then at the same time, I got the flu. I just want to make videos again, powers that be! It's like the universe is doing…"
yes,"  Me: Damn, just got flu again  People: "
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,  Irish flu vaccines. 
no,  Public health officials say there has been a spike in flu-related illnesses and hospitalizations. 
no,  Uber South Africa to bring flu vaccinations to your doorstep for R100   #UberSA 
yes,Need to see the doctor tomorrow. Flu is really creeping in for real now.
yes,welp I woke up this morning with a 103 fever and I’ve been at the hospital all day oh and I have the flu aGAIN ugh happy easter beauts!!
no,  #DYK that dogs can catch the flu? Follow these tips to help prevent it:  
no,  Had a flu jab today and now my arm feels like a cooked noodle 
no,"I don't think it's a mere coincidence that #timothycunningham spoke up about flu shots being dangerous in the midst of a deadly flu epidemic, and then he disappears and winds up dead. He was murdered #InsideJob"
no,Are We Prepared For A Killer Flu Epidemic? 
yes,"Continue praying for my husband, Rich, who has the flu &amp; now my daughter, Katie, who has a mild case of pnemonia.  Thanks!"
yes,Got sent home for the entire week because of the flu...cool.
no,Timothy Cunningham: 5 Fast Facts You Need to Know  via  #news
no," I suspect it is primarily a medical decision as without intensive  ‘medical’ intervention the child will die, soon or during the winter flu season. the assessment of his quality of life may be more balanced but are parents going to feel the same months/ years down the line."
no,Higher prices help foie gras farmers overcome bird flu crises 
yes,   Fm I've still got man flu from our B company Cheshire regtiment B company in Chester last weekend c'mon the Wire
yes,CDC Warns of 2nd Flu Wave   via 
yes,"Hello. It's me. Yeah the person who's been gone a while. You forgot me didn't you? Sigh, this flu is killing me in so many ways"
yes,When someone in your house has the flu and you’re doing everything in your power NOT to catch it. I need a hazmat suit. 
no,  Get this man a job   
no, Flu Paul. Jabs available at your nearest GP
no,"  There were *10,000 additional deaths* in the 1st 7 weeks of 2018. In England.   The infant mortality rate is rising in…"
yes,  4-2-18: Day six of the flu 
no,  A delish &amp; healthy way to start the day.  Recipe  #wellness #HealthyEating #healthyrecipe #flu #…
no,“Sickest rapper living. Glad to see em learn.  I couldn’t catch the flu kuz it ain’t wanna have me in return.”
no,"Following an exceptionally bad #flu season, #Medicago looks to build a better vaccine | #MedAff "
yes,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. 
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
no,  #MakeABandSickly Flu Fighters
no,"And I wonder how the CDC department getting ran was that flu outbreak because of neglect,or mutation?..see how everything has changed and has to be scrutinized to the fullest extent..."
yes,I am catching the flu
no,"COOL With cold &amp; flu season still lingering, don't let mucus keep you from enjoying the warm weather! #MucusFighters "
yes,Someone at Wondercon thought it was a great idea to bring the flu with them and share it with me. Whoever you are...Thanks! #WonderCon2018 
yes, Sounds like Man flu !
no,  Great thread Jess. Being from Canada I was shocked when I first moved to LA...(totally broke) my dear friend DIED at the do…
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no,"I wanna see you &amp; I’ve already been feeling like I was in a relationship by myself then what would you think? You didn’t even check on me when I had the flu.. this man plays victim to everything, I hate a person that can’t take blame in shit! Then lie to make me seem like I’m"
yes,  Flu &gt; feelings  
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…"
no,"Kaia says, “I just finished my flu vaccine series! Have you heard about Canine Flu? Ask your other family doctor at BVC about it today!” "
no,"you’ve heard of the freshmen few but, have you yet experienced the finals flu?"
yes,If I’m getting the stomach flu pls just kill me
no,Not yet 
no," Ha! Perfect.  (No joke) I'm blocked by Eric Trump, Sebastian Gorka, &amp; Scott Baio.  It's sort of like learning Bird Flu hates you.   *Good.* Stay away."
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,"I'm flu flammin I ain't never had to cracc cards, it was all for the cash flow"
no,"               Yeah, actually, I do.  It reduces the severity of the flu, should you catch it, and you help protect others who can't get the shot."
yes,  not to be dramatic but i have the flu and i’m probably going to die.  i need a hug.
yes,I feel like I have the flu and my whole body is aching. I don’t have a legit will stashed away anywhere but let this tweet state that I want all my belongings passed on to my son (cat) Chester. Thank you
yes,Finishing up all the homeworks then I’ll go to sleep may my flu getting better bcs my voice is no longer my voice anymore hahahahahahah
no,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,  Join  and  in an exciting project to help enhance community surveillance of #flu in the Hoosier…
no,Higher prices help foie gras farmers overcome bird flu crises 
no,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…"
no,"  Oh YES...  Flu Vaccines help less than 2% of those vaccinated.  BECAUSE THE BAD GUYS DON'T RAT ON THEMSELVES, WE DON'T HE…"
yes,Got tickets to see  tomorrow night so naturally I'm coming down with some flu-like virus. 
yes,"Me and my tiredness,flu and headache waiting on  I just can't miss it ey... "
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
yes,I’m legit making plans for my death because I’m pretty sure I’m gonna be one of the few people that dies from the flu. This bitch is coming at me HARD.
no,same  
yes,When rana was pretty much dying of flu 2 days ago and now she's been found out by everyone not even so much as a sniffle of a cold  #CoronationStreet
no,  Lovely Harrison enjoys human company and fuss so much he will dribble and purr!! He has had cat flu since being with us an…
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
yes,"See that?! Yes, it’s still bloody daylight at the end of my evening run, woohoo!! Still in the throes of a bit of girl flu but the triple #ultramarathons are hurtling towards me at speed and they ain’t running themselves  "
no,"  Every time someone blaimes my OTP  for ratings, even tho every single episode has had the bird flu. Just like tonite, a Si…"
no,On the blog today: Blogger Sarah shares some tips on how to stay happy and healthy this flu season!  
yes,Hi. Stomach flu is going around at the office and I'm really hoping I don't get it. Any recommendations to keep it away are welcome and appreciated.
yes,  Fighting the flu friends but will be posting numerous Q memes with important facts to share. Also working on promoting key can…
no,"A Pathologist examined the remains of all the crows, and, to everyone's relief, confirmed the problem was NOT Avian Flu.  The cause of death appeared to be from vehicular impacts!"
no,"  Flu season is still going strong and no matter how careful you are, you might still get sick. Learn what to do if you get the f…"
no,  This man said the flu shot was what was making people sick and then he went missing ... smh 
no,  Look at this little face! &lt;3 Gainsford came to us with tummy issues and flu which has taken a while to resolve.  Now th…
yes,"Flu creeping up on me. I deserve to be within cuddles, on a very warm chest"
no,"Unlike ‘winter’, it appears #flu season is wrapping up in #Minnesota.  weekly report downgrades influenza cases as ‘Local’  No flu hospitalizations were logged in West Central MN. Only one was reported in NW MN. The official flu season runs thru the end of May."
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
no,  I never gave anyone permission to spray my air with chemicals. You also probably think mandatory flu shots &amp; vaccines are no problem either. At least we agree the Buckeyes are the best college football team. 
no,  Safer than a Flu Shot or an Antibiotic 
yes,"  Me: Damn, just got flu again  People: "
yes,"I gave up meat for lent &amp; end up getting sick on Easter. Now im 5 days into the flu only eating soup , crackers &amp; fruit  imma lose so much weight I swear"
no,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…"
no,Universal flu vaccines are almost here #medtech               
no,of big pussy lips adult flu hottest porn videos ever grany sexy how to give good blowjob video sex asian  
no," Quick answer is I don't believe so. I would, however, just be paying attention to feeling ill, malaise, feverish, flu-like, etc, and let the doc know if you feel off.  It's important anyway in terms of watching out for rash and allergic reaction (which we've known about for ages)"
no,"The child, &lt;2 yrs old, was taken to a doctor but he didn't need hospitalization and has fully recovered. #H1N2 #Flu"
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
yes,same ive been dead all week 
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
yes,Not well a tall today l have got flu l really bad just read it if you Jane found another way  at moment l feel very bad have a lovely  evening Denise xxx 
no,Hate when I get a flu shot in my ass
yes,  In need of a new mask bc im not trying to get the wook flu.
yes,I feel horrible asf ready for this lil flu to be over
yes,"  Me: Damn, just got flu again  People: "
yes,  Wahhhhhh I’m at the doctor and they just told me I have the flu. How why  it’s been a rough month and a half. But not to w…
yes,  I suddenly have the flu. I want a latte. I need help picking out some clothes. Oh look a package just arrived. My boss c…
no,"  #Cold or #Flu this April? Wash, rinse and dry your brush well, then splurge on a new one once you're feeling better!"
no,"A ""severe flu"" was circulating in Morley days before a child's death: Band CEO  #yyc "
no,   CDC has released recommendations for influenza vaccines for the 2017-2018 influenza season. Down…
yes,Someone has the #MeToo Flu 
yes,"BAD NEWS: I have the flu. GOOD NEWS: I'm losing weight because I'm constantly full from ibuprofen, Benadryl, Tylenol Severe Sinus, Afrin, Mucinex, Halls cough drops, and sinus drainage. What a great way to start my vacation."
no,"Your doctor can provide expert advice, on whether the #influenza immunization is right for you. In addition to the flu shot, there are a lot of things you can do, to lower your risk of infection and strengthen your #immunity.  "
yes,Flu is everywhere in America right now.   
no,  Rachel Reenstra speaking to her doctor as he talks about Chemtrail Lung &amp; his opinion on Flu shots 
yes,  CDC warns of second wave of flu virus  
no,"  i know, right? maybe there won't be a ""spanish flu"" again (with modern medicine/information-spread/quarantining), but there's gotta be some sort of population-culling.  Either pollution or famine..."
no,How true are these #health #myths? #Nutrition #Cardiovascular #Flu #Society  
yes,"Feel so ill, this flu is getting ridiculous now "
no,"  Join us via livestream NOW for the Going Viral #flu symposium session on ""Predicting and Preventing the Next Pandemic""…"
no,"Ain't nothin' new, but a flu of new Demo-Crips and Re-Blood-licans Red state versus a blue state, which one you governin'?    Politics is crazy, all that money just to keep it all the same. Nothing changes, new chairs, same results."
no,I liked a  video  Super Flu - My gut (Solomun Remix)
yes, Thank God I'm at the tail end of it.  I've never been that sick in my life.  I now understand how people can die from the Flu though.
yes,Having the flu on tour sucked so bad. But I beat that shit in like 2 days (thanks to a $120 prescription thanks CVS)
no,"  Natural remedy for Flu, colds and more (read the full article before using) "
no,"This flu best keep away,  my weekend is already set"
no, What did flu season ever do to you? &gt;:(
no,"  Did you know that Emergen-C contains absorbic acid with is only one component of vitamin C? Filled with GMO ingredients, it…"
no,  The flu is the worst ever and people are dying.  I hope low-income people in Indiana and Kentucky who need flu shots can prov…
no,Fluffy Fall nceleme  
no,"  “Imagine a world where you could test for the flu right from your living room, or rapidly screen for the early warning s…"
no,  I'd like to officially volunteer to fill-in as SPACE WALKER if someone gets the flu or calls in sick.
yes,  CDC says 2nd wave of flu virus B has started 
no,"  In these cold months as winter winds down, #flu season has been in full swing! Be sure to keep your body as healthy as possi…"
no,  Fluffy Fall nceleme  
yes,I don't deserve this . My nose is blocked meaning I have to breath through my mouth but also that gets my throat dry .....I am over this flu .....  Let's not forget I also sound like a man 
yes,I have the flu.
yes,I gave Beckham life and he gave me the flu. Jerk.
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
yes,"Gotta get over this flu, heading to bed way too early. Goodnight beautiful people! "
yes,I hope I ’d everyone I’ve got flu 2 and so I’m a bit snotty. Xx
no,"  Overall, H3N2 flu viruses have predominated this season, but latest #FluView shows influenza B viruses are now more common than…"
no,"When Cory Asbury tweets you, but it’s to let you know he won’t be playing tonight...  "
no,Trying to kick the last of the Flu so drinking lemon honey drink. And another 5:30am wake up and… 
no,I love that  has a campaign creating awareness of antibiotic stewardship. We've got to get unneeded prescriptions under control. 
no,Rana is ill with the cold/flu and Kate still wants to sleep with her.  #Corrie
yes,  Wahhhhhh I’m at the doctor and they just told me I have the flu. How why  it’s been a rough month and a half. But not to w…
no,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,Is the #flu bug flying around your #work? Are people sneezing around your household? #Avoid getting #sick with #tips listed on our new blog post!  #newblogpost #healthadvice #flu #fluprevention #avoidsickness #fluseason #healthknowledge #PathMedical 
no,"Crash's acid-washed, anti-HIV hits unappreciated and he needed beer goggles to get a better look at loonies with long hair, suffering from the yuppie flu. He didn’t belong working for nothing  designed for nobody important in a gangster’s beer garden. #80sHairBands #music"
no,How many do you know that got that damn flu shot....and got sick! 
no,Higher prices help foie gras farmers overcome bird flu crises 
yes,"Still got my headache some several hours later.Everytime I cough or clear my throat, which is basically what I am stuck with from the flu. *sigh* #chiari"
yes,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…
no,"Mycelium fungus can help save the planet: clean polluted soil, make insecticides, treat smallpox and even flu viruses. "
yes,Turns out i don’t just have seasonal allergies i also have a violent flu
no, The main incentive for high achievers is that the material will be on the exam. And that's a tough nut to crack -- I remember being the kind of student who didn't like to miss class for that reason alone.  But spreading the flu/etc is dangerous to immune-compromised individuals.
no,"  Obese Gucci Mane (2005-2015)  Discography: Chicken Talk, Trap House series, Burrprint, Return of Zone 6, Mr Zone 6, Bir…"
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,  Think the flu shot is #SafeAndEffective ? Then read this: 
no,One case of H5N8 avian flu recorded in Al-Kharj 
yes,Who THE FUCK has given me a cold and the flu AGAIN
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,"  #Ivax2Protect my patients with Asthma from the Flu, and for my lung transplant patients to be protected from diseases they can…"
no, real men don’t get man flu 
yes,  CDC says 2nd wave of flu virus B has started  
no,Samee 
yes,"When you make it home after somehow, by some miracle getting through the last two shows with flu. "
no,"  100 years after the #1918Flu pandemic, CDC’s scientists and doctors serve on the front lines to respond to seasonal flu and to…"
no,  Ever visit your girlfriend unexpectedly then her mom stands at the gate and tells you ‘O tshwere ke flu’  
no,  Where do you guys find these men? 
no,True  
no,"  Born OTD in 1066, William Shakespeare was the great-grandson of St George. He defeated the Spanish Flu &amp; went on to write Gam…"
no,"  Can we ban them from coming? They pee and spit everywhere, they are carriers of a flu virus (that left a colleague 2 weeks i…"
no,Bill Gates is donating $12 million to help develop a universal flu vaccine  via 
yes,  CDC warns of second wave of flu virus  
no,  And our winner of the most innovative flu fighter campaign is  #flufighterawards 
yes,"I’m SO sick- as in Flu- I told my staff not to tell my daughter who works with us, Lacey Bauver, but now? I’m That Sick That I’m teetering between making them Guilty for not being here and  Thankful they’re not here to catch it! Did that make sense- in “Mom Talk?”"
yes,"Episode 5 of #GiftcoinCrypto #behindthescenes #documentary series. In this episode, Tim is bedridden with flu, the PR campaign starts, Alex meets an investor, and there is a crisis with Facebook  #ico #cryptocurrency"
no,  Where do you guys find these men? 
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
no,flu meds high fever high high high cuz its better than bad its good log log log
no,At this point I’m just 1 stomach flu away from my goal weight   
yes,Shout out to my little cousin who has the flu but didn't tell me before I gave him a high five
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no,"Sunnyside Cockroaches don't die when you spray them with Doom, they only get flu #SHOOKETH"
no,  Massive mining of Tweets can predict flu outbreaks two weeks in advance  podcast based on story by  http…
no,"Duh the Flu Vaccine partially gives you the Flu, because it's eliciting your immune system to be ready for when you get the real flu."
no,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…
yes,I'll upload my Vickeybong and NCT Empathy unboxing videos hopefully this week. The flu is kicking my butt and I've just been trying to rest when I can.
no,"  Help us fight the flu this winter &amp; stand a chance to WIN 1of4 Clicks online vouchers to the value of R1000 each!  To enter,…"
yes,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…
no,"  This piece says the Spanish Flu killed ""anyone who was infected by it."" (3:34 mins) How does a mistake that massive mak…"
yes,i don’t deserve to be attacked by this flu 
no,Higher prices help foie gras farmers overcome bird flu crises  
no,  Let's welcome back Aimee after a week long flu! on in 4 ;)    
no,  Men like acting tough till they get a little flu they act like they are on life support 
yes,CDC Warns of Second Wave of Flu Virus: What to Know  via 
yes,"Four days of flu. Paracetamol is shit, fuck it. Time to drink. "
yes,  Man flu got me slumped otherwise I'd defo be on my way to try get a ticket
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
yes,Ooo i can feel the flu is coming. I think im getting sick cause i binge-watched sad anime last night until 6 am. Bunorh lah aku shinigami kun.
no,Flu Attack! How A Virus Invades Your Body | Krulwich Wonders | NPR 
yes,White Sox's Abreu leaves game because of flu-like symptoms 
no,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…
no,I wish I could email my professors and tell them my mental illness prevented me from getting to class today and have them treat it the same as they’d deal with a student with the flu but adhd is barely a mental illness to most people
no," There is still bird flu in France, under control but will never be eradicated while wild infected birds fly the skies"
no,Medicine Grand Rounds 313 A Conversation With The Nations Chief Flu Fighter. [ 
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
yes, I should have tried this. Maybe I would’ve got rid of the flu quicker than I did. 
no,"  Dr. Timothy J. Cunningham, Who Controversially Warned This Year’s “Disastrous” Flu Shot May Be Responsible For The Deadly Flu…"
no,Love the simple animation on this  article. Clearly conveys the trend (and is kind of mesmerizing to boot).  
yes,  Well get her sick with pax flu again
no,"  BREAKING: With cash and a call for new ideas, Bill Gates tries to boost the campaign for a universal flu vaccine "
yes,  CDC warns of 2nd wave of flu hitting US and the latest strain impacts small children more severely. DETAILS: 
no,   I just forgot about my foot put it down “normally” lost my balance and woke up on driveway with my neighbours around me. I dented my zinc planter with body and hit head on wall. Alfie was beside himself!! Circling me and worrying . I am bruised but just don’t need man flu atm 
yes,Just had a four-hour 'flu sleep'. Whit? He's still not gone? Blimey... 
no,come over I’ll make you soup 
no,The stuff writers are made of: *** the Cold &amp; Flu Edition! ***  - caffeine - Neocitrin - guilt because you can barely sit up to write - snot  - phlegm - annoyance at your own gross sounds - panic because you're not making your word count goals - more snot - dread  #amwriting
yes,Smoking shisha when you are recovering from a flu brings you back to square one of that flu.... The stupid things done sometimes 
no,133 Children Now Dead as CDC Issues Warning  From The Weather Channel iPhone App  
no,Probe continues into flu-like illness that killed First Nation baby  
no,"  &gt;10,000* additional deaths were recorded in England in 1st 7 weeks of 2018.  They were not due to an ageing population.…"
no,     Good eye.  Auto correct liked flew better than flu
yes,This cold/flu or whatever it is... is kicking my butt!! 
no,  The reason that the White House flu shots administered by #DrRonnyJackson weren't all that success at preventing illness this…
no," Oh no! I know what you're going through, I had the flu last month. I hope you have a speedy recovery. When I was sick I didn't want to do ANYTHING so I don't expect you to post videos when you're sick with the flu. Your health is more important! "
no,  Clearly this guy has never sat in a taxi and felt his tummy make that dios rumble 
