Date,Tweet,City,Country,Order
Thu Apr 19 18:40:01 +0000 2018," Bro if I catch flu, Wey ego saf the way my eye dey get",none,GB,1754
Thu Apr 19 18:58:57 +0000 2018,i think i have the flu ,none,GB,1778
Mon Apr 23 18:25:03 +0000 2018,"This is really amazing technology  and research   Gotcha, flu!  ",none,GB,1839
Tue Apr 24 17:39:10 +0000 2018, I think the Conservatives call it a Jeremy Flu,none,GB,1973
Wed Apr 25 20:29:56 +0000 2018,Man flu has absolutely blown me back out like ,none,GB,2102
Thu Apr 26 18:41:13 +0000 2018,"I'm on chemo for my psoriasis and it's kicking the shit out of me. I thought I had flu but the doctor says no, it's the chemo, methotrexate. It's a bugger, lads.",none,GB,2305
Mon Apr 30 18:26:35 +0000 2018,Not well a tall today l have got flu l really bad just read it if you Jane found another way  at moment l feel very bad have a lovely  evening Denise xxx ,none,GB,2430
Tue Mar 27 18:54:59 +0000 2018, The WHO has been caught taking pharma kickbacks to inflate disease rates so flu vaccine can be sold.,none,GH,209
Tue Apr 03 19:04:20 +0000 2018,Thrilled about having the flu for the 37th time this year ,none,IE,1027
Fri Apr 27 20:09:48 +0000 2018,Omg feel so shit I literally always have the flu it’s not normal I’m snapping ,none,IE,2414
Mon Apr 30 18:27:15 +0000 2018,I’m leaving for Prague in three days and feel like I’m getting the flu ,none,IE,2432
Wed May 02 19:13:23 +0000 2018,flu is shit,none,JM,2650
Tue Mar 27 18:51:36 +0000 2018,Where the he’ll did this flu come from? ,none,KE,184
Tue Mar 27 18:52:14 +0000 2018,Where the hell did this flu come from?  ,none,KE,190
Mon Apr 02 19:01:59 +0000 2018,"I'm high AF..  Took Flu gone, Panadol Flu and celestamine  These meds about to Knock me TF out Big time ",none,KE,764
Wed May 02 18:34:16 +0000 2018,"One cold day, and I already have a flu ",none,MW,2587
Wed Apr 18 18:32:42 +0000 2018,"I already feel more skinny after not being able to eat correctly due to a stomach flu. Summer body, here I come",none,MX,1613
Wed Apr 25 20:17:33 +0000 2018,Today I'm an IN-FLUencer got it? In flu! 'cuz I'm sick  #badjoke #gottadoit,none,MX,2055
Wed Mar 28 18:05:21 +0000 2018,this flu make me cant sleep ,Lebanon,MY,270
Tue Apr 03 18:58:21 +0000 2018,Feel so stresssd out and weak from flu to malaria ,none,NG,994
Tue Apr 24 18:04:01 +0000 2018, It's not just the flu! It's the stress we've been enduring!,none,NG,2033
Tue Mar 27 18:04:04 +0000 2018," Fever flu stomach ache, Heartache bs",Foz do Iguaçu,none,1
Tue Mar 27 18:05:28 +0000 2018,"  If u guys ever wanna lose 15 pounds, just get the stomach flu",none,none,3
Tue Mar 27 18:05:31 +0000 2018,Draymond Green is doubtful tonight (flu-like symptoms),none,none,4
Tue Mar 27 18:05:36 +0000 2018,Draymond Green is doubtful because of flu like symptoms/throat infection,none,none,5
Tue Mar 27 18:06:21 +0000 2018,  Draymond Green is doubtful because of flu like symptoms/throat infection,none,none,7
Tue Mar 27 18:06:26 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none,8
Tue Mar 27 18:06:27 +0000 2018,  Remember that man flu is 100% fatal 0% of the time. Apparently the best man flu vaccine is coffee and bakery goods.,none,none,9
Tue Mar 27 18:07:00 +0000 2018,HELP. MY MOM THINKS SHE HAS THE FLU. IF ANYONE IS WILLING TO TAKE ME I NEED A NEW HONE FOR LIKE THREE WEEKS. PLEASE IM BEING SERIOUS IM NOT ABOUT TO CATCH THE FLU. HELP ME.,none,none,10
Tue Mar 27 18:07:01 +0000 2018," Cheers Andy,  been struggling with running lately after a couple of weeks with flu... 6 weeks to go though so should be fine by then. Good luck to you too!",none,none,11
Tue Mar 27 18:07:48 +0000 2018,  CDC says 2nd wave of flu virus B has started  ,none,none,12
Tue Mar 27 18:08:14 +0000 2018,"  If anyone has a good flu I can have before spring break lmk I’m trying to lose a lil weight. Looking for a stomach flu, not…",none,none,14
Tue Mar 27 18:08:28 +0000 2018,"Second wave of flu may be on the way, CDC warns ",none,none,15
Tue Mar 27 18:08:38 +0000 2018,  O my God Marco  has also been infected with #chicken flu and is on his deathbed now   We play with you   #N…,none,none,16
Tue Mar 27 18:09:15 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none,17
Tue Mar 27 18:09:35 +0000 2018, Should we be concerned about Draymond? This flu has been hanging on for a few days now.,none,none,18
Tue Mar 27 18:10:26 +0000 2018,Fuck. My. Life. ,none,none,19
Tue Mar 27 18:10:34 +0000 2018," Feel better. I remember, our daughter was still a newborn when the swine flu was going around and we all got it. Not at all fun! ",none,none,20
Tue Mar 27 18:10:56 +0000 2018,Me: -Flu -Fiber -Tired af -No laptop -No phone,San Jose,none,21
Tue Mar 27 18:12:09 +0000 2018,The stomach flu is a plague.,none,none,22
Tue Mar 27 18:12:40 +0000 2018," Luca, I had this in my left nostril during flu a couple of weeks ago! It completely freaked me out as I was convinced function would not return. Eventually I managed to detect Baghari while covering my right nostril, and then it all came back.",none,none,23
Tue Mar 27 18:12:46 +0000 2018,My daughter  has the flu so I'm letting her lick the envelopes of all my credit card bills…,none,none,24
Tue Mar 27 18:13:12 +0000 2018, I started reading ...Scarry Stuff that mind control amongst other experiments. There has been Chemical substances recently that have been dropped on smaller rural communities.  People have gotten sick ...flu like symptoms...but nobody knows n,none,none,25
Tue Mar 27 18:13:48 +0000 2018,  Draymond Green is doubtful because of flu like symptoms/throat infection,none,none,26
Tue Mar 27 18:13:50 +0000 2018,  CDC says 2nd wave of flu virus B has started  ,none,none,27
Tue Mar 27 18:14:10 +0000 2018,"I'm going to start calling in sick to work with ""flu-like symptoms"" ",none,none,28
Tue Mar 27 18:14:19 +0000 2018,  Flu - MAN DOWN! ,none,none,29
Tue Mar 27 18:14:24 +0000 2018,"Can’t remember if I took echinacea this morning, so let me go ahead and take two right now. I can feel the wook flu lurking in Chicago already. ",none,none,30
Tue Mar 27 18:14:35 +0000 2018, Feel better! Hopefully it's not the flu,none,none,31
Tue Mar 27 18:15:26 +0000 2018,"  A Second Wave of #Flu May Be On the Way, CDC Warns - TIME  #health #medicine #publ…",none,none,32
Tue Mar 27 18:15:33 +0000 2018," Yeah. Turns out i got a pretty bad stomach flu I got medicated and feel a bit better now, dont worry!",none,none,33
Tue Mar 27 18:15:54 +0000 2018,CDC warns of second wave of flu virus ,none,none,34
Tue Mar 27 18:16:36 +0000 2018,"Withdrawal symptoms are flu, achy, headaches, moodswings and dizziness which has meant I’ve been in bed all day crying in pain and feeling depressive. It’s great  today is just a write off for me, smack on a smile for work tomorrow ",none,none,35
Tue Mar 27 18:16:45 +0000 2018,  CDC warns of second wave of flu virus ,none,none,36
Tue Mar 27 18:17:20 +0000 2018,CDC says 2nd wave of #flu virus B has started ,none,none,37
Tue Mar 27 18:17:51 +0000 2018,  I HAD. THE FLU... I WASNT IN MY RIGHT MIND,none,none,38
Tue Mar 27 18:18:01 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none,39
Tue Mar 27 18:18:30 +0000 2018,Yay for the stomach flu. Aiden and I both have it.,none,none,40
Tue Mar 27 18:18:33 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none,41
Tue Mar 27 18:18:47 +0000 2018,This flu better go away before Saturday,none,none,42
Tue Mar 27 18:19:30 +0000 2018,   I'm not even stem and I've only missed 1 class because I had the flu. Like... Geez,none,none,44
Tue Mar 27 18:19:41 +0000 2018,  Dances in the rain Gets flu,none,none,45
Tue Mar 27 18:19:52 +0000 2018,hi I have the flu and I feel like death,none,none,46
Tue Mar 27 18:19:55 +0000 2018,Trying to get over the stomach flu so I can get to City Council meeting. I should be back up and running tomorrow but I am watching the Council meeting live on line so I am up to speed.,none,none,47
Tue Mar 27 18:20:06 +0000 2018,CDC: Second wave of flu virus B happening now  ,none,none,48
Tue Mar 27 18:20:04 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none,49
Tue Mar 27 18:21:00 +0000 2018,"I still don’t have tickets for the XI game. This FLU is beating the shit out of me. Still going tho, ticket search starts now. Yo  we going or what?!",none,none,50
Tue Mar 27 18:21:11 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none,51
Tue Mar 27 18:21:19 +0000 2018,Who THE FUCK has given me a cold and the flu AGAIN,none,none,52
Tue Mar 27 18:21:20 +0000 2018,Lord give me a stomach flu bc I need to lose about 15 pounds,none,none,53
Tue Mar 27 18:21:21 +0000 2018,  CDC: Second wave of flu virus B happening now  ,Seshego,none,54
Tue Mar 27 18:21:51 +0000 2018,"I also didn’t sleep much at all last night so. And I still have a lingering cough but the flu is gone, but I think that my energy from beforehand is still recovering",none,none,55
Tue Mar 27 18:22:06 +0000 2018,i feel a flu coming,none,none,56
Tue Mar 27 18:22:12 +0000 2018," welcome to teaching  in my first couple months, i got strep, flu, two colds, and pink eye  literally the worst",none,none,57
Tue Mar 27 18:22:30 +0000 2018,so sick with a stomach flu yesterday that brie wouldn't even come near me.,none,none,58
Tue Mar 27 18:22:35 +0000 2018,"I don’t tell anyone this but when someone doubts me, my inner monologue is “try and stop me, bitch! I survived swine flu and my vagina bleeds for 5-6 days straight once every month.”",none,none,59
Tue Mar 27 18:22:50 +0000 2018,"I think I had the flu last week and I legit just was acting like I had sinus problems. Smh. But I got better really fast. Im telling y’all keep y’all gallbladder’s, kidneys, tonsils, and wisdom teeth  cuz when your body needs to be on defense but you only have one kidney",none,none,60
Tue Mar 27 18:22:54 +0000 2018,Someone has jinxed the warriors stars. ,none,none,61
Tue Mar 27 18:23:18 +0000 2018,the flu is weird bc it takes away your taste for food completely but you still gotta nourish yourself but everything looks repulsive what kind of twisted reality is this,none,none,62
Tue Mar 27 18:23:47 +0000 2018,I got the flu boys ,none,none,63
Tue Mar 27 18:24:26 +0000 2018,"  Dr: I’m sorry sir, it seems you have the extremely virulent Spanish Flu.  Me: Is it treatable with meds?  Dr: Yes, we just ha…",none,none,64
Tue Mar 27 18:24:39 +0000 2018,the flu can have me the week after next i NEED a clean bill of health for the next week okay,none,none,65
Tue Mar 27 18:24:41 +0000 2018,oh my FUCKING GOD. I jusdt realized I completely forgot over my other essays and the flu that I have to hand in two summaries of some REALLY RIDICULOUSLY LONG book chapters until friday. I am FUCKING DONE.,none,none,66
Tue Mar 27 18:24:42 +0000 2018,"Wanted to get back into videos but now i have flu and i crave sweet death right now. On the bright side though, getting human internet installed tomorrow so i can finally stream again. ",none,none,67
Tue Mar 27 18:24:44 +0000 2018,"  My health car provider just sent me an email telling me it's not too late to get a flu shot. With all due respect, the…",none,none,68
Tue Mar 27 18:25:20 +0000 2018,CDC: Second wave of flu virus B happening now ,none,none,69
Tue Mar 27 18:25:50 +0000 2018,  Trying to get over the stomach flu so I can get to City Council meeting. I should be back up and running tomorrow but I…,none,none,70
Tue Mar 27 18:25:51 +0000 2018,"See that?! Yes, it’s still bloody daylight at the end of my evening run, woohoo!! Still in the throes of a bit of girl flu but the triple #ultramarathons are hurtling towards me at speed and they ain’t running themselves  ",none,none,71
Tue Mar 27 18:27:27 +0000 2018,"Bae has flu, just 2 days before our baecaetion. O ntefela gore, flu e tla ka mawaza",none,none,72
Tue Mar 27 18:27:30 +0000 2018,i................have.......... the flu,none,none,73
Tue Mar 27 18:27:53 +0000 2018,I’m about to catch the flu in this break room wtf,none,none,74
Tue Mar 27 18:28:18 +0000 2018,bluedot fer the flu,none,none,75
Tue Mar 27 18:28:29 +0000 2018,Isn't getting flu two days before your birthday one of the greatest things ever? ,none,none,76
Tue Mar 27 18:28:51 +0000 2018,  It’s very hard to see sarcasm when ur drugged up and on the flu ma bad,none,none,77
Tue Mar 27 18:28:52 +0000 2018,the flu is weird bc it takes away your taste for food completely but you still gotta nourish yourself but everything looks repulsive ,none,none,78
Tue Mar 27 18:29:27 +0000 2018,#CDC: Second wave of flu #virus B happening now - Mar 27 @ 2:29 PM ET  ,none,none,79
Tue Mar 27 18:29:42 +0000 2018,i can feel this flu creeping up on me. ,none,none,80
Tue Mar 27 18:29:58 +0000 2018,"Fuck you, stomach flu",none,none,81
Tue Mar 27 18:30:20 +0000 2018,"Michael is sat with a Budweiser watching the England match ... I’m sat with a Lemsip, googling symptoms of this Flu ",none,none,82
Tue Mar 27 18:31:10 +0000 2018," I hope your day gets better. Im in isolation at hosp i have the  taking tamiflu and oxygen.They still might have to incubate me which I'm def not looking forward to but I won't remember it though, just scary.The news abt the show madd my day ",none,none,83
Tue Mar 27 18:31:39 +0000 2018,  You have chlamydia ,none,none,84
Tue Mar 27 18:31:47 +0000 2018,"I thought I had the Flu, apparently just a virus.",none,none,85
Tue Mar 27 18:32:26 +0000 2018," yes I went today, I have the flu",none,none,86
Tue Mar 27 18:32:27 +0000 2018,"No Charges In Sterling Death, CDC Warns Of Second Flu Wave - No Charges Against Officers Involved In Sterling Death. Former Charles County teacher's aide gets 105 years on child porn charges....  ",none,none,87
Tue Mar 27 18:32:29 +0000 2018,  CDC: Second wave of flu virus B happening now  ,none,none,88
Tue Mar 27 18:32:41 +0000 2018,Well my senior year spring break is going awesome I have been laying in bed enjoying the view of Netflix why I cough up a lung every 10 seconds and I am loving the company of the flu! It’s going great guys! ,none,none,89
Tue Mar 27 18:33:32 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none,90
Tue Mar 27 18:34:22 +0000 2018,Boy I want you in my chest like a flu..,none,none,91
Tue Mar 27 18:34:25 +0000 2018,  Draymond Green is doubtful because of flu like symptoms/throat infection,none,none,92
Tue Mar 27 18:34:28 +0000 2018,Need to see the doctor tomorrow. Flu is really creeping in for real now.,none,none,93
Tue Mar 27 18:34:30 +0000 2018,"If you have the flu, stay home till the fever has been gone for 24 hours without the medication. ur colleagues will thank you",none,none,94
Tue Mar 27 18:34:52 +0000 2018,If I’m getting the stomach flu pls just kill me,none,none,95
Tue Mar 27 18:34:54 +0000 2018, There has been a virus going around here in Georgia. My niece caught it and it had flu like symptoms but with no fever.,none,none,96
Tue Mar 27 18:35:02 +0000 2018,. warns second wave of flu virus has begun  ,none,none,97
Tue Mar 27 18:35:17 +0000 2018,I thought college would be better because I thought that people would all wash their hands. But NO. They don’t. This is the reason why the flu hasn’t gone away yet. Y’all nasty,none,none,98
Tue Mar 27 18:35:20 +0000 2018,"#Warriors Draymond Green (flu-like symptoms, throat infection) has been downgraded to doubtful for Tuesday's g... ",Pretoria,none,99
Tue Mar 27 18:35:58 +0000 2018,CDC Warns Second Wave Of Flu Has Begun ,none,none,101
Tue Mar 27 18:36:06 +0000 2018,This flu yeses ,none,none,102
Tue Mar 27 18:36:45 +0000 2018,CDC warns a second wave of flu is happening now ,none,none,103
Tue Mar 27 18:36:53 +0000 2018,"I have pink eye, like a small child. And the flu. #parenting #adulting ",none,none,104
Tue Mar 27 18:37:20 +0000 2018,"So I have a stomach bug, my bf has the cold/flu/sinus infection I had the last few weeks. I’m trying to clean the sickness out of this house...",none,none,105
Tue Mar 27 18:37:35 +0000 2018,  this man flu omg I'm suffering,none,none,107
Tue Mar 27 18:37:55 +0000 2018,"so i can’t move very much at all (bad back, lack of energy, and possible flu are my current woes) so i’m going to start a show off my Netflix list, and knit  what should i watch?",none,none,108
Tue Mar 27 18:37:57 +0000 2018,  CDC says 2nd wave of #flu virus B has started ,none,none,109
Tue Mar 27 18:38:03 +0000 2018,On st Patricks day a guy at CVS gave me a sample packet and I poured it into my mouth and it burned. You hurt me. ,none,none,110
Tue Mar 27 18:38:07 +0000 2018,CDC warns of second wave of flu virus  ,none,none,111
Tue Mar 27 18:38:08 +0000 2018,CDC warns of second wave of flu virus  ,none,none,112
Tue Mar 27 18:38:09 +0000 2018,CDC warns of second wave of flu virus  ,none,none,113
Tue Mar 27 18:38:08 +0000 2018,CDC warns of second wave of flu virus  ,none,none,114
Tue Mar 27 18:38:10 +0000 2018,CDC warns of second wave of flu virus  ,none,none,115
Tue Mar 27 18:38:11 +0000 2018,CDC warns of second wave of flu virus  ,none,none,116
Tue Mar 27 18:38:15 +0000 2018,CDC warns of second wave of flu virus  ,none,none,117
Tue Mar 27 18:38:15 +0000 2018,Been doing research and I think I have the flu...has it finally come to get me after not getting my flu jab this year! Now I regret not getting it ,none,none,118
Tue Mar 27 18:38:15 +0000 2018,I also have a fucking sinus infection on top of the flu fan fucking tabulousssss ,none,none,119
Tue Mar 27 18:38:17 +0000 2018,Why am I always sick? Flu I haaaate u,none,none,120
Tue Mar 27 18:38:26 +0000 2018,"Also, nasal rinsing with saline solution can be really helpful. It supports health and helps balance things. ",none,none,121
Tue Mar 27 18:38:30 +0000 2018,"A Second Wave of Flu May Be On the Way, CDC Warns - TIME ",none,none,122
Tue Mar 27 18:38:31 +0000 2018,When cdc announces that were gonna have a second wave of flu ,none,none,123
Tue Mar 27 18:38:40 +0000 2018,CDC warns a second wave of flu is happening now ,none,none,124
Tue Mar 27 18:38:54 +0000 2018,This my first time catching the flu,none,none,125
Tue Mar 27 18:39:27 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,126
Tue Mar 27 18:39:31 +0000 2018,Have you had the flu? ,none,none,127
Tue Mar 27 18:39:37 +0000 2018,CDC warns second wave of flu has begun ,none,none,128
Tue Mar 27 18:39:38 +0000 2018,"Just ate 2 enchiladas, a bag of chips, and a pop tart in literally 5 minutes so I kinda hope I get the stomach flu that’s going around ",none,none,129
Tue Mar 27 18:40:05 +0000 2018,I need to sweat this flu out! I’m having a boiling hot bath!,none,none,130
Tue Mar 27 18:40:07 +0000 2018,CDC warns second wave of flu has begun  ,none,none,131
Tue Mar 27 18:40:35 +0000 2018, In the 1980s Kremlin watchers would be wondering if he caught the “flu.”,none,none,132
Tue Mar 27 18:40:47 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,133
Tue Mar 27 18:40:52 +0000 2018,CDC says 2nd wave of flu virus B has started  ,none,none,134
Tue Mar 27 18:41:01 +0000 2018,Sacramento News CDC warns of second wave of flu virus  ,none,none,135
Tue Mar 27 18:41:56 +0000 2018,Me vs Flu right now. Halp ,none,none,136
Tue Mar 27 18:42:33 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,137
Tue Mar 27 18:42:48 +0000 2018,  CDC says 2nd wave of flu virus B has started  ,none,none,138
Tue Mar 27 18:42:54 +0000 2018,CDC says 2nd wave of flu virus B has started  ,none,none,139
Tue Mar 27 18:43:01 +0000 2018, Sounds like you have the flu ,none,none,140
Tue Mar 27 18:43:07 +0000 2018,  CDC warns second wave of flu has begun  ,none,none,141
Tue Mar 27 18:43:19 +0000 2018,  CDC warns second wave of flu has begun  ,none,none,142
Tue Mar 27 18:43:58 +0000 2018,"I don't have the data yet, but I'm confident &gt;50% of people's symptoms can be solved by sleep and water.  People get used to exhaustion and dehydration. It feels normal. Sleeping and hydrating happens in bursts when their body finally rebels, so sleep and hydration feel weird. ",none,none,143
Tue Mar 27 18:44:04 +0000 2018,"My flu riddled self somehow managed to write and submit an assignment last week and still got 82%. I don't normally share grades but damn, I am impressed with flu-Abbey. ",none,none,144
Tue Mar 27 18:44:09 +0000 2018,So is this flu cough ever gonna go away or is this like the plague?,none,none,145
Tue Mar 27 18:44:23 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,146
Tue Mar 27 18:44:45 +0000 2018,CDC warns of second wave of flu virus  ,none,none,147
Tue Mar 27 18:44:52 +0000 2018,CDC warns of second wave of flu virus  ,none,none,148
Tue Mar 27 18:44:56 +0000 2018,"Did you ever see the dinosaur sneeze on the girl in Jurassic Park? After caring for my kids, THIS is why I now have the flu:  #flu",none,none,149
Tue Mar 27 18:44:58 +0000 2018,CDC warns of second wave of flu virus  ,none,none,150
Tue Mar 27 18:45:00 +0000 2018,CDC warns of second wave of flu virus  ,none,none,151
Tue Mar 27 18:45:00 +0000 2018,  Hi all! I'm sorry but I'm going to go to sign off now... first day back at work after a week filled with flu = a very tir…,none,none,152
Tue Mar 27 18:45:14 +0000 2018,  CDC says 2nd wave of flu virus B has started  ,none,none,153
Tue Mar 27 18:45:33 +0000 2018,  Hi all! I'm sorry but I'm going to go to sign off now... first day back at work after a week filled with flu = a very tir…,none,none,154
Tue Mar 27 18:45:33 +0000 2018," Not really especially if it's still cold out. It makes a woman's hair go frizzy, mascara run down her face AND last time I walked in the cold rain, I had flu like symptoms next day so no. Anyhow, I pay to have a gym in my building so gotta use it ",none,none,155
Tue Mar 27 18:46:49 +0000 2018,my cats never leave my side when I’m sick. animals know every time I swear having the flu is the worst ,none,none,156
Tue Mar 27 18:47:19 +0000 2018,Finally starting to feel human again after having con flu for a while! Back to your regular scheduled art stream :D  #anime #animegirl #animeart #animeillustration #animedrawing #drawing  #manga #mangadrawing #illustration #otaku  #doodle #characterdesign #gameart #moe #kawaii ,none,none,157
Tue Mar 27 18:47:39 +0000 2018,"  Wanted to get back into videos but now i have flu and i crave sweet death right now. On the bright side though, getting hu…",none,none,158
Tue Mar 27 18:47:39 +0000 2018,CDC: Second wave of flu virus B happening now &gt;&gt;  ,Bristol,none,159
Tue Mar 27 18:47:59 +0000 2018,my cats never leave my side when I’m sick. I swear animals know every time having the flu is the absolute worst ,none,none,161
Tue Mar 27 18:47:59 +0000 2018,"Snow, cold weather, and now I’ve got the flu. Great start to #spring ",none,none,162
Tue Mar 27 18:48:34 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,163
Tue Mar 27 18:48:41 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,164
Tue Mar 27 18:48:43 +0000 2018,  Finally starting to feel human again after having con flu for a while! Back to your regular scheduled art stream :D  #anime…,none,none,165
Tue Mar 27 18:48:43 +0000 2018,  I thought college would be better because I thought that people would all wash their hands. But NO. They don’t. This is th…,none,none,166
Tue Mar 27 18:48:57 +0000 2018,CDC warns of second wave of flu virus  ,none,none,167
Tue Mar 27 18:49:01 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,168
Tue Mar 27 18:49:08 +0000 2018,CDC warns of second wave of flu virus ,none,none,169
Tue Mar 27 18:49:10 +0000 2018,I feel like I have the flu so that’s coooooool,none,none,170
Tue Mar 27 18:49:15 +0000 2018,"  A Second Wave of Flu May Be On the Way, CDC Warns - TIME ",none,none,171
Tue Mar 27 18:49:18 +0000 2018,"""Rather catch the flu and not feelings"" ",none,none,172
Tue Mar 27 18:49:49 +0000 2018,   I hope your day gets better. Im in isolation at hosp i have the  taking tamiflu and oxyg…,none,none,173
Tue Mar 27 18:49:58 +0000 2018,it might be flu symptoms but i think I'm getting sick  OF YOUR SHIT  #REKT,none,none,174
Tue Mar 27 18:50:18 +0000 2018, Ay u gave me the flu dik,none,none,175
Tue Mar 27 18:50:30 +0000 2018,  Audition     #PresenterSearch I've got flu but I'm unstoppable. Please…,none,none,176
Tue Mar 27 18:50:38 +0000 2018,this flu caught me off guard,none,none,177
Tue Mar 27 18:51:02 +0000 2018,CDC: Second wave of flu virus B happening now  ,none,none,178
Tue Mar 27 18:51:05 +0000 2018, Fuck sake I blame the flu,none,none,179
Tue Mar 27 18:51:13 +0000 2018,"  A second wave of flu may be on the way, according to the CDC ",none,none,180
Tue Mar 27 18:51:18 +0000 2018,I feel high af I have the keto flu ,none,none,181
Tue Mar 27 18:51:31 +0000 2018,"I groan about eating low carb, but to be completely honest its the only time I feel actually full and don't get tired after I eat. And after the keto flu passes I feel fucking amazing.",none,none,182
Tue Mar 27 18:51:33 +0000 2018," ""flu like symptoms"" tho",none,none,183
Tue Mar 27 18:51:47 +0000 2018,CDC warns of second wave of flu virus  ,none,none,185
Tue Mar 27 18:51:49 +0000 2018,CDC warns of second wave of flu virus  ,none,none,186
Tue Mar 27 18:51:52 +0000 2018,CDC warns of second wave of flu virus  ,none,none,187
Tue Mar 27 18:51:53 +0000 2018,CDC warns of second wave of flu virus  ,none,none,188
Tue Mar 27 18:52:12 +0000 2018,I had the flu in December. It seems as if I have some variation of it AGAIN. I feel like I’ve been hit by a truck ,Nairobi,none,189
Tue Mar 27 18:52:19 +0000 2018,CDC warns of second wave of flu virus  ,none,none,191
Tue Mar 27 18:52:30 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none,192
Tue Mar 27 18:52:57 +0000 2018,This flu must not even try me abeg o ......,none,none,193
Tue Mar 27 18:52:59 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,194
Tue Mar 27 18:53:00 +0000 2018, That literally just happened to my grandpa a few days ago  Did your grandpa get the flu too?,none,none,195
Tue Mar 27 18:53:10 +0000 2018,That’s was my first time hooping in weeks  felt like months !! Me having the flu killed me,none,none,196
Tue Mar 27 18:53:39 +0000 2018,  CDC warns of second wave of flu virus  ,none,none,197
Tue Mar 27 18:53:43 +0000 2018,  I have the flu and MY FATHER doesn’t want anything to do with me.....I just wanted a hug. ,none,none,198
